Name,Overall,League
England,84.00,International
Spain,83.00,International
France,83.00,International
Germany,83.00,International
Portugal,83.00,International
Argentina,83.00,International
Netherlands,82.00,International
Italy,82.00,International
Belgium,80.00,International
Brazil,80.00,International
Croatia,79.00,International
Denmark,78.00,International
Austria,77.00,International
Morocco,77.00,International
Mexico,77.00,International
Poland,77.00,International
Sweden,76.00,International
Norway,76.00,International
Czech Republic,76.00,International
Scotland,75.00,International
Ukraine,75.00,International
USA,75.00,International
Ghana,75.00,International
Wales,73.00,International
Canada,73.00,International
Hungary,73.00,International
Ireland,72.00,International
Romania,71.00,International
Australia,71.00,International
Finland,71.00,International
Iceland,70.00,International
China,69.00,International
Northern Ireland,69.00,International
Qatar,68.00,International
New Zealand,66.00,International
